,Close,Predictions
177385,1611.42,1618.2466
177386,1606.62,1610.6848
177387,1580.02,1606.5951
177388,1583.29,1580.6125
177389,1590.36,1585.3394
177390,1598.72,1590.8262
177391,1605.25,1598.6327
177392,1617.43,1604.4854
177393,1616.03,1616.1454
177394,1617.94,1614.1597
177395,1607.95,1616.6025
177396,1602.98,1606.6697
177397,1592.54,1602.677
177398,1579.86,1592.4742
177399,1596.07,1580.6699
177400,1588.43,1596.8782
177401,1593.58,1587.8004
177402,1593.73,1593.902
177403,1587.31,1593.1356
177404,1577.36,1587.045
177405,1568.54,1577.6025
177406,1575.84,1569.3132
177407,1574.4,1576.5406
177408,1577.6,1574.2123
177409,1569.26,1577.6235
177410,1574.56,1569.0161
177411,1573.53,1574.7731
177412,1576.85,1572.956
177413,1580.46,1576.4763
177414,1579.01,1579.6392
177415,1582.81,1578.1307
177416,1589.46,1582.0604
177417,1587.58,1588.2649
177418,1590.36,1586.2279
177419,1601.11,1589.38
177420,1602.47,1599.6866
177421,1606.59,1600.579
177422,1600.27,1605.0615
177423,1602.92,1598.7502
177424,1598.07,1602.074
177425,1601.54,1597.0183
177426,1614.14,1600.9918
177427,1621.32,1612.9504
177428,1620.78,1619.4327
177429,1616.4,1619.0021
177430,1613.08,1615.0598
177431,1613.29,1612.1731
177432,1616.82,1612.5667
177433,1612.72,1616.0132
177434,1604.84,1611.8672
177435,1607.85,1604.5825
177436,1613.01,1607.8555
177437,1609.5,1612.421
177438,1611.92,1608.7898
177439,1612.14,1611.5153
177440,1591.95,1611.3845
177441,1586.73,1591.728
177442,1602.21,1587.8738
177443,1603.06,1602.4814
177444,1601.28,1602.1416
177445,1607.13,1600.8584
177446,1602.15,1606.5316
177447,1605.03,1601.1969
177448,1601.46,1604.5631
177449,1596.74,1600.6561
177450,1596.62,1596.4453
177451,1601.66,1596.4601
177452,1602.92,1601.2277
177453,1600.88,1602.1307
177454,1601.58,1600.2247
177455,1595.28,1601.04
177456,1592.76,1594.7483
177457,1592.2,1592.7251
177458,1608.45,1592.0587
177459,1605.39,1607.8942
177460,1610.37,1603.8153
177461,1606.04,1609.5287
177462,1606.08,1604.7643
177463,1605.21,1605.3901
177464,1603.22,1604.3864
177465,1588.02,1602.6027
177466,1598.37,1587.858
177467,1602.13,1598.8877
177468,1599.51,1601.2633
177469,1595.94,1598.9276
177470,1599.59,1595.5978
177471,1594.94,1599.2518
177472,1593.51,1594.3193
177473,1583.91,1593.3597
177474,1591.58,1583.8197
177475,1585.34,1591.8696
177476,1589.34,1584.8215
177477,1600.54,1589.4304
177478,1595.62,1599.7181
177479,1589.3,1594.3702
177480,1573.85,1588.8947
177481,1583.54,1573.9443
177482,1580.89,1584.2
177483,1579.06,1580.3334
177484,1581.37,1579.1326
177485,1586.96,1581.2083
177486,1592.29,1586.403
177487,1599.81,1591.2861
177488,1597.28,1598.487
177489,1597.66,1595.7456
177490,1599.37,1596.6273
177491,1602.56,1598.23
177492,1595.24,1601.3976
177493,1600.57,1594.1984
177494,1609.39,1600.0868
177495,1620.36,1608.1334
177496,1623.79,1618.6525
177497,1617.06,1621.708
177498,1641.89,1615.4056
177499,1638.9,1640.3995
177500,1635.26,1635.8325
177501,1629.0,1633.6719
177502,1633.79,1627.6699
177503,1638.39,1632.9097
177504,1645.5,1637.0614
177505,1643.35,1644.105
177506,1629.85,1641.7839
177507,1627.98,1629.015
177508,1605.71,1627.9923
177509,1618.73,1605.8607
177510,1621.69,1620.0419
177511,1628.91,1621.136
177512,1615.99,1628.5597
177513,1612.06,1615.2909
177514,1613.0,1612.4486
177515,1617.08,1612.9873
177516,1596.87,1616.804
177517,1603.33,1596.7219
177518,1600.8,1604.3936
